COM;NCC;POP
01001;L'ABERGEMENT CLEMENCIAT;347
01002;L'ABERGEMENT DE VAREY;88
01003;AMAREINS;137
01004;AMBERIEU EN BUGEY;8 949
01005;AMBERIEUX EN DOMBES;627
01006;AMBLEON;108
01007;AMBRONAY;1 193
01008;AMBUTRIX;327
01009;ANDERT ET CONDON;159
01010;ANGLEFORT;528
01011;APREMONT;148
01012;ARANC;296
01013;ARANDAS;143
01014;ARBENT;1 255
01015;ARBIGNIEU;321
01016;ARBIGNY;353
01017;ARGIS;582
01018;ARLOD;1 584
01019;ARMIX;48
01021;ARS SUR FORMANS;496
01022;ARTEMARE;838
01023;ASNIERES SUR SAONE;103
01024;ATTIGNAT;1 236
01025;BAGE LA VILLE;1 383
01026;BAGE LE CHATEL;568
01027;BALAN;732
01028;BANEINS;284
01029;BEAUPONT;575
01030;BEAUREGARD;584
01031;BELLIGNAT;848
01032;BELIGNEUX;1 022
01033;BELLEGARDE SUR VALSERINE;9 249
01034;BELLEY;7 049
01035;BELLEYDOUX;250
01036;BELMONT;240
01037;BENONCES;261
01038;BENY;566
01039;BEON;298
01040;BEREZIAT;298
01041;BETTANT;567
01042;BEY;105
01043;BEYNOST;1 763
01044;BILLIAT;216
01045;BIRIEUX;110
01046;BIZIAT;518
01047;BLYES;147
01048;BOHAS;159
01049;LA�BOISSE;1 457
01050;BOISSEY;238
01051;BOLOZON;112
01052;BOULIGNEUX;208
01053;BOURG EN BRESSE;37 887
01054;BOURG SAINT CHRISTOPHE;507
01055;BOUVENT;82
01056;BOYEUX SAINT JEROME;225
01057;BOZ;335
01058;BREGNIER CORDON;502
01059;BRENAZ;116
01060;BRENOD;524
01061;BRENS;342
01062;BRESSOLLES;252
01063;BRION;215
01064;BRIORD;393
01065;BUELLAS;687
01066;LA�BURBANCHE;80
01067;CEIGNES;124
01068;CERDON;724
01069;CERTINES;429
01070;CESSEINS;97
01071;CESSY;509
01072;CEYZERIAT;1 503
01073;CEYZERIEU;649
01074;CHALAMONT;1 199
01075;CHALEINS;461
01076;CHALEY;278
01077;CHALLES;169
01078;CHALLEX;545
01079;CHAMPAGNE EN VALROMEY;497
01080;CHAMPDOR;362
01081;CHAMPFROMIER;428
01082;CHANAY;472
01083;CHANEINS;411
01084;CHANOZ CHATENAY;475
01085;LA�CHAPELLE DU CHATELARD;210
01086;CHARANCIN;90
01087;CHARIX;230
01088;CHARNOZ;141
01089;CHATEAU GAILLARD;439
01090;CHATENAY;249
01091;CHATILLON DE MICHAILLE;891
01092;CHATILLON LA PALUD;660
01093;CHATILLON SUR CHALARONNE;2 678
