COM;NCC;POP
01001;L'ABERGEMENT-CLEMENCIAT;477
01002;L'ABERGEMENT-DE-VAREY;136
01004;AMBERIEU-EN-BUGEY;9 737
01005;AMBERIEUX-EN-DOMBES;848
01006;AMBLEON;65
01007;AMBRONAY;1 862
01008;AMBUTRIX;405
01009;ANDERT-ET-CONDON;276
01010;ANGLEFORT;714
01011;APREMONT;279
01012;ARANC;273
01013;ARANDAS;145
01014;ARBENT;2 766
01015;ARBIGNIEU;363
01016;ARBIGNY;311
01017;ARGIS;447
01019;ARMIX;28
01021;ARS-SUR-FORMANS;719
01022;ARTEMARE;914
01023;ASNIERES-SUR-SAONE;95
01024;ATTIGNAT;1 682
01025;BAGE-LA-VILLE;1 596
01026;BAGE-LE-CHATEL;669
01027;BALAN;1 197
01028;BANEINS;307
01029;BEAUPONT;415
01030;BEAUREGARD;666
01031;BELLIGNAT;2 602
01032;BELIGNEUX;1 486
01033;BELLEGARDE-SUR-VALSERINE;11 097
01034;BELLEY;7 981
01035;BELLEYDOUX;222
01036;BELMONT-LUTHEZIEU;293
01037;BENONCES;274
01038;BENY;537
01039;BEON;346
01040;BEREZIAT;282
01041;BETTANT;594
01042;BEY;181
01043;BEYNOST;2 714
01044;BILLIAT;348
01045;BIRIEUX;102
01046;BIZIAT;561
01047;BLYES;359
01049;LA�BOISSE;1 959
01050;BOISSEY;207
01051;BOLOZON;94
01052;BOULIGNEUX;247
01053;BOURG-EN-BRESSE;41 098
01054;BOURG-SAINT-CHRISTOPHE;659
01056;BOYEUX-SAINT-JEROME;254
01057;BOZ;323
01058;BREGNIER-CORDON;502
01059;BRENAZ;92
01060;BRENOD;431
01061;BRENS;475
01062;BRESSOLLES;446
01063;BRION;395
01064;BRIORD;520
01065;BUELLAS;1 006
01066;LA�BURBANCHE;55
01067;CEIGNES;136
01068;CERDON;647
01069;CERTINES;675
01071;CESSY;1 068
01072;CEYZERIAT;1 956
01073;CEYZERIEU;727
01074;CHALAMONT;1 415
01075;CHALEINS;594
01076;CHALEY;106
01077;CHALLES;169
01078;CHALLEX;817
01079;CHAMPAGNE-EN-VALROMEY;714
01080;CHAMPDOR;428
01081;CHAMPFROMIER;332
01082;CHANAY;426
01083;CHANEINS;420
01084;CHANOZ-CHATENAY;453
01085;LA�CHAPELLE-DU-CHATELARD;242
01087;CHARIX;254
01088;CHARNOZ;267
01089;CHATEAU-GAILLARD;832
01090;CHATENAY;266
01091;CHATILLON-EN-MICHAILLE;1 963
01092;CHATILLON-LA-PALUD;814
01093;CHATILLON-SUR-CHALARONNE;3 518
01094;CHAVANNES-SUR-REYSSOUZE;543
01095;CHAVANNES-SUR-SURAN;393
01096;CHAVEYRIAT;598
01097;CHAVORNAY;136
01098;CHAZEY-BONS;728
01099;CHAZEY-SUR-AIN;695
01100;CHEIGNIEU-LA-BALME;141
01101;CHEVILLARD;132
01102;CHEVROUX;517
01103;CHEVRY;637
01104;CHEZERY-FORENS;337
01105;CIVRIEUX;763
01106;CIZE;108
01107;CLEYZIEU;98
01108;COLIGNY;1 132
01109;COLLONGES;926
01110;COLOMIEU;122
01111;CONAND;91
01112;CONDAMINE;194
01113;CONDEISSIAT;496
01114;CONFORT;397
01115;CONFRANCON;720
01116;CONTREVOZ;376
01117;CONZIEU;75
01118;CORBONOD;839
01119;CORCELLES;211
01121;CORLIER;66
01122;CORMARANCHE-EN-BUGEY;593
01123;CORMORANCHE-SUR-SAONE;831
01124;CORMOZ;550
01125;CORVEISSIAT;438
01127;COURMANGOUX;310
01128;COURTES;199
01129;CRANS;145
01130;CRAS-SUR-REYSSOUZE;807
01133;CRESSIN-ROCHEFORT;216
01134;CROTTET;986
01135;CROZET;961
01136;CRUZILLES-LES-MEPILLAT;500
01138;CULOZ;2 630
01139;CURCIAT-DONGALON;512
01140;CURTAFOND;427
01141;CUZIEU;193
01142;DAGNEUX;2 091
01143;DIVONNE-LES-BAINS;4 783
01144;DOMMARTIN;517
01145;DOMPIERRE-SUR-VEYLE;745
01146;DOMPIERRE-SUR-CHALARONNE;183
01147;DOMSURE;448
01148;DORTAN;1 609
01149;DOUVRES;534
01150;DROM;139
01151;DRUILLAT;717
01152;ECHALLON;462
