COM;NCC;POP
01001;L'ABERGEMENT-CLEMENCIAT;579
01002;L'ABERGEMENT-DE-VAREY;159
01004;AMBERIEU-EN-BUGEY;10 455
01005;AMBERIEUX-EN-DOMBES;1 156
01006;AMBLEON;76
01007;AMBRONAY;1 996
01008;AMBUTRIX;595
01009;ANDERT-ET-CONDON;262
01010;ANGLEFORT;687
01011;APREMONT;341
01012;ARANC;291
01013;ARANDAS;128
01014;ARBENT;3 369
01015;ARBIGNIEU;387
01016;ARBIGNY;314
01017;ARGIS;405
01019;ARMIX;14
01021;ARS-SUR-FORMANS;851
01022;ARTEMARE;961
01023;ASNIERES-SUR-SAONE;68
01024;ATTIGNAT;1 776
01025;BAGE-LA-VILLE;1 959
01026;BAGE-LE-CHATEL;751
01027;BALAN;1 668
01028;BANEINS;377
01029;BEAUPONT;422
01030;BEAUREGARD;868
01031;BELLIGNAT;3 233
01032;BELIGNEUX;2 319
01033;BELLEGARDE-SUR-VALSERINE;11 153
01034;BELLEY;7 807
01035;BELLEYDOUX;232
01036;BELMONT-LUTHEZIEU;308
01037;BENONCES;249
01038;BENY;587
01039;BEON;348
01040;BEREZIAT;308
01041;BETTANT;703
01042;BEY;195
01043;BEYNOST;3 141
01044;BILLIAT;396
01045;BIRIEUX;125
01046;BIZIAT;574
01047;BLYES;535
01049;LA�BOISSE;2 419
01050;BOISSEY;206
01051;BOLOZON;93
01052;BOULIGNEUX;274
01053;BOURG-EN-BRESSE;40 972
01054;BOURG-SAINT-CHRISTOPHE;716
01056;BOYEUX-SAINT-JEROME;241
01057;BOZ;352
01058;BREGNIER-CORDON;511
01059;BRENAZ;95
01060;BRENOD;385
01061;BRENS;638
01062;BRESSOLLES;480
01063;BRION;587
01064;BRIORD;618
01065;BUELLAS;1 162
01066;LA�BURBANCHE;60
01067;CEIGNES;160
01068;CERDON;672
01069;CERTINES;916
01071;CESSY;1 763
01072;CEYZERIAT;2 058
01073;CEYZERIEU;766
01074;CHALAMONT;1 476
01075;CHALEINS;754
01076;CHALEY;107
01077;CHALLES;193
01078;CHALLEX;967
01079;CHAMPAGNE-EN-VALROMEY;667
01080;CHAMPDOR;459
01081;CHAMPFROMIER;440
01082;CHANAY;410
01083;CHANEINS;478
01084;CHANOZ-CHATENAY;476
01085;LA�CHAPELLE-DU-CHATELARD;247
01087;CHARIX;261
01088;CHARNOZ;416
01089;CHATEAU-GAILLARD;1 027
01090;CHATENAY;276
01091;CHATILLON-EN-MICHAILLE;2 189
01092;CHATILLON-LA-PALUD;874
01093;CHATILLON-SUR-CHALARONNE;3 786
01094;CHAVANNES-SUR-REYSSOUZE;565
01095;CHAVANNES-SUR-SURAN;419
01096;CHAVEYRIAT;766
01097;CHAVORNAY;175
01098;CHAZEY-BONS;684
01099;CHAZEY-SUR-AIN;895
01100;CHEIGNIEU-LA-BALME;110
01101;CHEVILLARD;137
01102;CHEVROUX;586
01103;CHEVRY;733
01104;CHEZERY-FORENS;357
01105;CIVRIEUX;954
01106;CIZE;112
01107;CLEYZIEU;84
01108;COLIGNY;1 117
01109;COLLONGES;1 000
01110;COLOMIEU;114
01111;CONAND;56
01112;CONDAMINE;248
01113;CONDEISSIAT;581
01114;CONFORT;449
01115;CONFRANCON;805
01116;CONTREVOZ;416
01117;CONZIEU;79
01118;CORBONOD;841
01119;CORCELLES;207
01121;CORLIER;76
01122;CORMARANCHE-EN-BUGEY;704
01123;CORMORANCHE-SUR-SAONE;780
01124;CORMOZ;502
01125;CORVEISSIAT;437
01127;COURMANGOUX;327
01128;COURTES;194
01129;CRANS;209
01130;CRAS-SUR-REYSSOUZE;846
01133;CRESSIN-ROCHEFORT;250
01134;CROTTET;1 313
01135;CROZET;1 164
01136;CRUZILLES-LES-MEPILLAT;580
01138;CULOZ;2 639
01139;CURCIAT-DONGALON;449
01140;CURTAFOND;422
01141;CUZIEU;240
01142;DAGNEUX;3 317
01143;DIVONNE-LES-BAINS;5 580
01144;DOMMARTIN;537
01145;DOMPIERRE-SUR-VEYLE;828
01146;DOMPIERRE-SUR-CHALARONNE;268
01147;DOMSURE;436
01148;DORTAN;2 107
01149;DOUVRES;606
01150;DROM;146
01151;DRUILLAT;823
01152;ECHALLON;550
01153;ECHENEVEX;997
01154;ETREZ;510
01155;EVOSGES;101
01156;FARAMANS;482
01157;FAREINS;1 545
01158;FARGES;559
01159;FEILLENS;2 624
01160;FERNEY-VOLTAIRE;6 408
01162;FLAXIEU;53
01163;FOISSIAT;1 481
01165;AMAREINS-FRANCHELEINS-CESSEINS;826
01166;FRANS;1 549
01167;GARNERANS;484
01169;GENOUILLEUX;320
01170;GEOVREISSIAT;455
01171;GEOVREISSET;450
01172;GERMAGNAT;86
01173;GEX;6 615
01174;GIRON;88
01175;GORREVOD;512
01176;LE�GRAND-ABERGEMENT;96
01177;GRAND-CORENT;104
01179;GRIEGES;1 606
01180;GRILLY;634
01181;GROISSIAT;611
01182;GROSLEE;286
01183;GUEREINS;995
01184;HAUTECOURT-ROMANECHE;588
01185;HAUTEVILLE-LOMPNES;3 895
01186;HOSTIAS;56
01187;HOTONNES;268
01188;ILLIAT;396
01189;INJOUX-GENISSIAT;940
01190;INNIMOND;81
01191;IZENAVE;130
01192;IZERNORE;1 170
01193;IZIEU;161
01194;JASSANS-RIOTTIER;4 609
01195;JASSERON;1 079
01196;JAYAT;650
01197;JOURNANS;286
01198;JOYEUX;171
01199;JUJURIEUX;1 602
01200;LABALME;120
01202;LAGNIEU;5 686
01203;LAIZ;806
01204;LALLEYRIAT;191
01205;LANCRANS;815
01206;LANTENAY;235
01207;LAPEYROUSE;207
01208;LAVOURS;108
01209;LEAZ;461
01210;LELEX;232
01211;LENT;1 043
01212;LESCHEROUX;527
01213;LEYMENT;822
01214;LEYSSARD;113
01215;LHOPITAL;53
01216;LHUIS;587
01218;LOCHIEU;69
01219;LOMPNAS;137
01221;LOMPNIEU;97
01224;LOYETTES;2 256
01225;LURCY;199
01227;MAGNIEU;290
01228;MAILLAT;623
01229;MALAFRETAZ;624
01230;MANTENAY-MONTLIN;256
01231;MANZIAT;1 482
01232;MARBOZ;2 026
01233;MARCHAMP;106
01234;MARIGNIEU;138
01235;MARLIEUX;633
01236;MARSONNAS;728
01237;MARTIGNAT;1 003
01238;MASSIEUX;1 782
01239;MASSIGNIEU-DE-RIVES;412
01240;MATAFELON-GRANGES;406
01241;MEILLONNAS;1 051
01242;MERIGNAT;85
01243;MESSIMY-SUR-SAONE;827
01244;MEXIMIEUX;6 230
01245;BOHAS-MEYRIAT-RIGNAT;657
01246;MEZERIAT;1 995
01247;MIJOUX;258
01248;MIONNAY;1 103
01249;MIRIBEL;7 683
01250;MISERIEUX;1 224
01252;MOGNENEINS;491
01254;MONTAGNAT;1 173
01255;MONTAGNIEU;356
01257;MONTANGES;248
01258;MONTCEAUX;672
01259;MONTCET;420
01260;LE�MONTELLIER;170
01261;MONTHIEUX;344
01262;MONTLUEL;5 954
01263;MONTMERLE-SUR-SAONE;2 596
01264;MONTRACOL;551
01265;MONTREAL-LA-CLUSE;3 496
01266;MONTREVEL-EN-BRESSE;1 973
01267;NURIEUX-VOLOGNAT;856
01268;MURS-ET-GELIGNIEUX;188
01269;NANTUA;3 602
01271;NATTAGES;322
01272;NEUVILLE-LES-DAMES;1 141
01273;NEUVILLE-SUR-AIN;1 151
01274;LES�NEYROLLES;615
01275;NEYRON;1 723
01276;NIEVROZ;1 061
01277;NIVOLLET-MONTGRIFFON;66
01279;ONCIEU;68
01280;ORDONNAZ;115
01281;ORNEX;2 263
01282;OUTRIAZ;275
01283;OYONNAX;23 869
01284;OZAN;408
01285;PARCIEUX;784
01286;PARVES;286
01288;PERON;1 202
01289;PERONNAS;5 352
01290;PEROUGES;851
01291;PERREX;714
01292;LE�PETIT-ABERGEMENT;141
01293;PEYRIAT;154
01294;PEYRIEU;560
01295;PEYZIEUX-SUR-SAONE;245
01296;PIRAJOUX;304
01297;PIZAY;433
01298;PLAGNE;73
01299;LE�PLANTAY;344
01300;LE�POIZAT;270
01301;POLLIAT;2 025
01302;POLLIEU;108
01303;PONCIN;1 229
01304;PONT-D'AIN;2 258
01305;PONT-DE-VAUX;1 913
01306;PONT-DE-VEYLE;1 421
01307;PORT;773
01308;POUGNY;600
01309;POUILLAT;38
01310;PREMEYZEL;190
01311;PREMILLIEU;40
01312;PRESSIAT;155
01313;PREVESSIN-MOENS;3 723
01314;PRIAY;948
01316;PUGIEU;123
01317;RAMASSE;189
01318;RANCE;410
01319;RELEVANT;327
01320;REPLONGES;2 687
01321;REVONNAS;438
01322;REYRIEUX;3 057
01323;REYSSOUZE;709
01325;RIGNIEUX-LE-FRANC;743
01328;ROMANS;480
01329;ROSSILLON;103
01330;RUFFIEU;144
01331;SAINT-ALBAN;122
01332;SAINT-ANDRE-DE-BAGE;437
01333;SAINT-ANDRE-DE-CORCY;2 547
01334;SAINT-ANDRE-D'HUIRIAT;368
01335;SAINT-ANDRE-LE-BOUCHOUX;171
01336;SAINT-ANDRE-SUR-VIEUX-JONC;979
01337;SAINT-BENIGNE;823
01338;SAINT-BENOIT;488
01339;SAINT-BERNARD;872
01340;SAINT-BOIS;113
01341;SAINT-CHAMP;143
01342;SAINTE-CROIX;365
01343;SAINT-CYR-SUR-MENTHON;1 243
01344;SAINT-DENIS-LES-BOURG;4 145
01345;SAINT-DENIS-EN-BUGEY;1 780
01346;SAINT-DIDIER-D'AUSSIAT;594
01347;SAINT-DIDIER-DE-FORMANS;1 288
01348;SAINT-DIDIER-SUR-CHALARONNE;2 065
01349;SAINT-ELOI;358
01350;SAINT-ETIENNE-DU-BOIS;1 982
01351;SAINT-ETIENNE-SUR-CHALARONNE;1 037
01352;SAINT-ETIENNE-SUR-REYSSOUZE;376
01353;SAINTE-EUPHEMIE;857
01354;SAINT-GENIS-POUILLY;5 696
01355;SAINT-GENIS-SUR-MENTHON;324
01356;SAINT-GEORGES-SUR-RENON;126
01357;SAINT-GERMAIN-DE-JOUX;465
01358;SAINT-GERMAIN-LES-PAROISSES;273
01359;SAINT-GERMAIN-SUR-RENON;190
01360;SAINT-JEAN-DE-GONVILLE;1 001
01361;SAINT-JEAN-DE-NIOST;810
01362;SAINT-JEAN-DE-THURIGNEUX;504
01363;SAINT-JEAN-LE-VIEUX;1 274
01364;SAINT-JEAN-SUR-REYSSOUZE;541
01365;SAINT-JEAN-SUR-VEYLE;926
01366;SAINTE-JULIE;529
01367;SAINT-JULIEN-SUR-REYSSOUZE;532
01368;SAINT-JULIEN-SUR-VEYLE;522
01369;SAINT-JUST;614
01370;SAINT-LAURENT-SUR-SAONE;1 710
01371;SAINT-MARCEL;786
01372;SAINT-MARTIN-DE-BAVEL;327
01373;SAINT-MARTIN-DU-FRENE;971
01374;SAINT-MARTIN-DU-MONT;1 179
01375;SAINT-MARTIN-LE-CHATEL;555
01376;SAINT-MAURICE-DE-BEYNOST;3 468
01378;SAINT-MAURICE-DE-GOURDANS;1 575
01379;SAINT-MAURICE-DE-REMENS;613
01380;SAINT-NIZIER-LE-BOUCHOUX;625
01381;SAINT-NIZIER-LE-DESERT;484
01382;SAINTE-OLIVE;196
01383;SAINT-PAUL-DE-VARAX;1 081
01384;SAINT-RAMBERT-EN-BUGEY;2 112
01385;SAINT-REMY;668
01386;SAINT-SORLIN-EN-BUGEY;832
01387;SAINT-SULPICE;102
01388;SAINT-TRIVIER-DE-COURTES;1 064
01389;SAINT-TRIVIER-SUR-MOIGNANS;1 471
01390;SAINT-VULBAS;710
01391;SALAVRE;246
01392;SAMOGNAT;285
01393;SANDRANS;346
01396;SAULT-BRENAZ;1 014
01397;SAUVERNY;1 067
01398;SAVIGNEUX;792
01399;SEGNY;1 211
01400;SEILLONNAZ;120
01401;SERGY;1 201
01402;SERMOYER;522
01403;SERRIERES-DE-BRIORD;834
01404;SERRIERES-SUR-AIN;71
01405;SERVAS;879
01406;SERVIGNAT;136
01407;SEYSSEL;817
01408;SIMANDRE;574
01409;SONGIEU;101
01410;SONTHONNAX-LA-MONTAGNE;242
01411;SOUCLIN;197
01412;SULIGNAT;434
01413;SURJOUX;70
01414;SUTRIEU;209
01415;TALISSIEU;401
01416;TENAY;1 356
01417;THEZILLIEU;297
01418;THIL;769
01419;THOIRY;3 015
01420;THOISSEY;1 306
01421;TORCIEU;569
01422;TOSSIAT;979
01423;TOUSSIEUX;437
01424;TRAMOYES;1 136
01425;LA�TRANCLIERE;254
01426;TREFFORT-CUISIAT;1 779
01427;TREVOUX;6 092
01428;VALEINS;61
01429;VANDEINS;415
01430;VARAMBON;353
01431;VAUX-EN-BUGEY;881
01432;VERJON;235
01433;VERNOUX;148
01434;VERSAILLEUX;219
01435;VERSONNEX;1 866
01436;VESANCY;363
01437;VESCOURS;184
01439;VESINES;108
01441;VIEU-D'IZENAVE;524
01442;VIEU;293
01443;VILLARS-LES-DOMBES;3 415
01444;VILLEBOIS;924
01445;VILLEMOTIER;419
01446;VILLENEUVE;845
01447;VILLEREVERSURE;1 003
01448;VILLES;226
01449;VILLETTE;412
01450;VILLIEU-LOYES-MOLLON;2 182
01451;VIRIAT;4 701
01452;VIRIEU-LE-GRAND;922
01453;VIRIEU-LE-PETIT;279
01454;VIRIGNIN;550
01456;VONGNES;92
01457;VONNAS;2 381
02001;ABBECOURT;467
02002;ACHERY;564
02003;ACY;985
02004;AGNICOURT-ET-SECHELLES;209
02005;AGUILCOURT;328
02006;AISONVILLE-ET-BERNOVILLE;216
02007;AIZELLES;81
02008;AIZY-JOUY;230
02009;ALAINCOURT;521
02010;ALLEMANT;136
02011;AMBLENY;1 119
02012;AMBRIEF;91
02013;AMIFONTAINE;351
02014;AMIGNY-ROUY;693
02015;ANCIENVILLE;34
02016;ANDELAIN;163
02017;ANGUILCOURT-LE-SART;278
02018;ANIZY-LE-CHATEAU;1 896
02019;ANNOIS;372
02020;ANY-MARTIN-RIEUX;525
02021;ARCHON;87
02022;ARCY-SAINTE-RESTITUE;328
02023;ARMENTIERES-SUR-OURCQ;85
02024;ARRANCY;42
02025;ARTEMPS;347
02026;ARTONGES;134
02027;ASSIS-SUR-SERRE;257
02028;ATHIES-SOUS-LAON;2 124
02029;ATTILLY;401
02030;AUBENCHEUL-AUX-BOIS;275
02031;AUBENTON;826
02032;AUBIGNY-AUX-KAISNES;263
02033;AUBIGNY-EN-LAONNOIS;120
02034;AUDIGNICOURT;94
02035;AUDIGNY;214
02036;AUGY;62
02037;AULNOIS-SOUS-LAON;1 146
02038;LES�AUTELS;99
02039;AUTREMENCOURT;125
02040;AUTREPPES;150
02041;AUTREVILLE;749
02042;AZY-SUR-MARNE;372
02043;BAGNEUX;61
02044;BANCIGNY;39
02046;BARENTON-BUGNY;578
02047;BARENTON-CEL;141
02048;BARENTON-SUR-SERRE;106
02049;BARISIS;689
02050;BARZY-EN-THIERACHE;308
02051;BARZY-SUR-MARNE;359
02052;BASSOLES-AULERS;121
02053;BAULNE-EN-BRIE;219
02054;BAZOCHES-SUR-VESLES;351
02055;BEAUME;113
02056;BEAUMONT-EN-BEINE;138
02057;BEAUREVOIR;1 425
02058;BEAURIEUX;654
02059;BEAUTOR;3 114
02060;BEAUVOIS-EN-VERMANDOIS;304
02061;BECQUIGNY;253
02062;BELLEAU;134
02063;BELLENGLISE;441
02064;BELLEU;4 083
02065;BELLICOURT;664
02066;BENAY;206
02067;BERGUES-SUR-SAMBRE;211
02068;BERLANCOURT;112
02069;BERLISE;108
02070;BERNOT;459
02071;BERNY-RIVIERE;528
02072;BERRIEUX;162
02073;BERRY-AU-BAC;509
02074;BERTAUCOURT-EPOURDON;462
02075;BERTHENICOURT;200
02076;BERTRICOURT;66
02077;BERZY-LE-SEC;365
02078;BESME;136
02079;BESMONT;165
02080;BESNY-ET-LOIZY;314
02081;BETHANCOURT-EN-VAUX;353
02082;BEUGNEUX;75
02083;BEUVARDES;642
02084;BEZU-LE-GUERY;165
02085;BEZU-SAINT-GERMAIN;413
02086;BICHANCOURT;902
02087;BIEUXY;21
02088;BIEVRES;84
02089;BILLY-SUR-AISNE;1 279
02090;BILLY-SUR-OURCQ;208
02091;BLANZY-LES-FISMES;79
02093;BLERANCOURT;1 270
02094;BLESMES;339
02095;BOHAIN-EN-VERMANDOIS;6 955
02096;BOIS-LES-PARGNY;194
02097;BONCOURT;237
02098;BONNEIL;336
02099;BONNESVALYN;203
02100;BONY;101
02101;BOSMONT-SUR-SERRE;197
02102;BOUCONVILLE-VAUCLAIR;170
02103;BOUE;1 369
02104;BOUFFIGNEREUX;111
02105;BOURESCHES;166
02106;BOURG-ET-COMIN;535
02107;BOURGUIGNON-SOUS-COUCY;99
02108;BOURGUIGNON-SOUS-MONTBAVIN;147
02109;LA�BOUTEILLE;502
02110;BRAINE;2 090
02111;BRANCOURT-EN-LAONNOIS;710
02112;BRANCOURT-LE-GRAND;569
02114;BRASLES;1 206
02115;BRAYE-EN-LAONNOIS;192
02116;BRAYE-EN-THIERACHE;175
02117;BRAY-SAINT-CHRISTOPHE;72
02118;BRAYE;133
02119;BRECY;284
02120;BRENELLE;184
02121;BRENY;212
02122;BRIE;60
02123;BRISSAY-CHOIGNY;318
02124;BRISSY-HAMEGICOURT;715
02125;BRUMETZ;166
02126;BRUNEHAMEL;508
02127;BRUYERES-SUR-FERE;213
02128;BRUYERES-ET-MONTBERAULT;1 410
02129;BRUYS;26
02130;BUCILLY;246
02131;BUCY-LE-LONG;1 841
02132;BUCY-LES-CERNY;188
02133;BUCY-LES-PIERREPONT;432
02134;BUIRE;868
02135;BUIRONFOSSE;1 258
02136;BURELLES;182
02137;BUSSIARES;75
02138;BUZANCY;188
02139;CAILLOUEL-CREPIGNY;457
02140;CAMELIN;401
02141;LA�CAPELLE;2 149
02142;CASTRES;156
02143;LE�CATELET;223
02144;CAULAINCOURT;110
02145;CAUMONT;482
02146;CELLES-LES-CONDE;78
02147;LA�CELLE-SOUS-MONTMIRAIL;82
02148;CELLES-SUR-AISNE;216
02149;CERIZY;64
02150;CERNY-EN-LAONNOIS;49
02151;CERNY-LES-BUCY;113
02152;CERSEUIL;72
02153;CESSIERES;416
02154;CHACRISE;320
02155;CHAILLEVOIS;174
02156;CHALANDRY;225
