COM;NCC;POP
01001;L'ABERGEMENT-CLEMENCIAT;368
01002;L'ABERGEMENT-DE-VAREY;106
01004;AMBERIEU-EN-BUGEY;9 550
01005;AMBERIEUX-EN-DOMBES;756
01006;AMBLEON;82
01007;AMBRONAY;1 270
01008;AMBUTRIX;353
01009;ANDERT-ET-CONDON;184
01010;ANGLEFORT;697
01011;APREMONT;200
01012;ARANC;269
01013;ARANDAS;140
01014;ARBENT;1 400
01015;ARBIGNIEU;317
01016;ARBIGNY;334
01017;ARGIS;479
01019;ARMIX;33
01021;ARS-SUR-FORMANS;480
01022;ARTEMARE;810
01023;ASNIERES-SUR-SAONE;94
01024;ATTIGNAT;1 279
01025;BAGE-LA-VILLE;1 361
01026;BAGE-LE-CHATEL;588
01027;BALAN;1 051
01028;BANEINS;254
01029;BEAUPONT;515
01030;BEAUREGARD;531
01031;BELLIGNAT;1 096
01032;BELIGNEUX;1 341
01033;BELLEGARDE-SUR-VALSERINE;11 593
01034;BELLEY;7 583
01035;BELLEYDOUX;200
01036;BELMONT-LUTHEZIEU;300
01037;BENONCES;258
01038;BENY;503
01039;BEON;345
01040;BEREZIAT;284
01041;BETTANT;586
01042;BEY;131
01043;BEYNOST;2 311
01044;BILLIAT;293
01045;BIRIEUX;97
01046;BIZIAT;533
01047;BLYES;228
01049;LA�BOISSE;1 751
01050;BOISSEY;219
01051;BOLOZON;84
01052;BOULIGNEUX;172
01053;BOURG-EN-BRESSE;42 181
01054;BOURG-SAINT-CHRISTOPHE;515
01056;BOYEUX-SAINT-JEROME;212
01057;BOZ;348
01058;BREGNIER-CORDON;442
01059;BRENAZ;103
01060;BRENOD;436
01061;BRENS;395
01062;BRESSOLLES;270
01063;BRION;335
01064;BRIORD;413
01065;BUELLAS;792
01066;LA�BURBANCHE;61
01067;CEIGNES;114
01068;CERDON;652
01069;CERTINES;491
01071;CESSY;770
01072;CEYZERIAT;1 761
01073;CEYZERIEU;648
01074;CHALAMONT;1 307
01075;CHALEINS;428
01076;CHALEY;171
01077;CHALLES;135
01078;CHALLEX;712
01079;CHAMPAGNE-EN-VALROMEY;687
01080;CHAMPDOR;365
01081;CHAMPFROMIER;326
01082;CHANAY;464
01083;CHANEINS;376
01084;CHANOZ-CHATENAY;451
01085;LA�CHAPELLE-DU-CHATELARD;202
01087;CHARIX;205
01088;CHARNOZ;155
01089;CHATEAU-GAILLARD;698
01090;CHATENAY;225
01091;CHATILLON-EN-MICHAILLE;1 765
01092;CHATILLON-LA-PALUD;574
01093;CHATILLON-SUR-CHALARONNE;3 241
01094;CHAVANNES-SUR-REYSSOUZE;573
01095;CHAVANNES-SUR-SURAN;336
01096;CHAVEYRIAT;567
01097;CHAVORNAY;131
01098;CHAZEY-BONS;681
01099;CHAZEY-SUR-AIN;651
01100;CHEIGNIEU-LA-BALME;141
01101;CHEVILLARD;116
01102;CHEVROUX;516
01103;CHEVRY;574
01104;CHEZERY-FORENS;362
01105;CIVRIEUX;536
01106;CIZE;128
01107;CLEYZIEU;90
01108;COLIGNY;1 077
01109;COLLONGES;966
01110;COLOMIEU;97
01111;CONAND;70
01112;CONDAMINE;148
01113;CONDEISSIAT;510
01114;CONFORT;377
01115;CONFRANCON;725
01116;CONTREVOZ;289
01117;CONZIEU;76
01118;CORBONOD;884
01119;CORCELLES;207
01121;CORLIER;69
01122;CORMARANCHE-EN-BUGEY;472
01123;CORMORANCHE-SUR-SAONE;752
01124;CORMOZ;572
01125;CORVEISSIAT;411
01127;COURMANGOUX;296
01128;COURTES;215
01129;CRANS;120
01130;CRAS-SUR-REYSSOUZE;693
01133;CRESSIN-ROCHEFORT;179
01134;CROTTET;891
01135;CROZET;711
01136;CRUZILLES-LES-MEPILLAT;477
01138;CULOZ;2 523
01139;CURCIAT-DONGALON;575
01140;CURTAFOND;382
01141;CUZIEU;156
01142;DAGNEUX;1 817
01143;DIVONNE-LES-BAINS;4 238
01144;DOMMARTIN;528
